Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026107,"SS2_15_0048_K23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750163",SRX3750163,"Kristian Pietras","Nov 23, 2018"
GSM3026108,"SS2_15_0048_K24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750164",SRX3750164,"Kristian Pietras","Nov 23, 2018"
GSM3026109,"SS2_15_0048_L1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750165",SRX3750165,"Kristian Pietras","Nov 23, 2018"
GSM3026110,"SS2_15_0048_L2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750166",SRX3750166,"Kristian Pietras","Nov 23, 2018"
GSM3026111,"SS2_15_0048_L3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750167",SRX3750167,"Kristian Pietras","Nov 23, 2018"
GSM3026112,"SS2_15_0048_L4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750168",SRX3750168,"Kristian Pietras","Nov 23, 2018"
GSM3026113,"SS2_15_0048_L5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750169",SRX3750169,"Kristian Pietras","Nov 23, 2018"
GSM3026114,"SS2_15_0048_L6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750170",SRX3750170,"Kristian Pietras","Nov 23, 2018"
GSM3026115,"SS2_15_0048_L7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750171",SRX3750171,"Kristian Pietras","Nov 23, 2018"
GSM3026116,"SS2_15_0048_L8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750172",SRX3750172,"Kristian Pietras","Nov 23, 2018"
GSM3026117,"SS2_15_0048_L9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750173",SRX3750173,"Kristian Pietras","Nov 23, 2018"
GSM3026118,"SS2_15_0048_L10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750174",SRX3750174,"Kristian Pietras","Nov 23, 2018"
GSM3026119,"SS2_15_0048_L11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750175",SRX3750175,"Kristian Pietras","Nov 23, 2018"
GSM3026120,"SS2_15_0048_L12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750176",SRX3750176,"Kristian Pietras","Nov 23, 2018"
GSM3026121,"SS2_15_0048_L13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750177",SRX3750177,"Kristian Pietras","Nov 23, 2018"
GSM3026122,"SS2_15_0048_L14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750178",SRX3750178,"Kristian Pietras","Nov 23, 2018"
GSM3026123,"SS2_15_0048_L15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750179",SRX3750179,"Kristian Pietras","Nov 23, 2018"
GSM3026124,"SS2_15_0048_L16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750180",SRX3750180,"Kristian Pietras","Nov 23, 2018"
GSM3026125,"SS2_15_0048_L17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750181",SRX3750181,"Kristian Pietras","Nov 23, 2018"
GSM3026126,"SS2_15_0048_L18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750182",SRX3750182,"Kristian Pietras","Nov 23, 2018"
GSM3026127,"SS2_15_0048_L19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750183",SRX3750183,"Kristian Pietras","Nov 23, 2018"
GSM3026128,"SS2_15_0048_L20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750184",SRX3750184,"Kristian Pietras","Nov 23, 2018"
GSM3026129,"SS2_15_0048_L21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750185",SRX3750185,"Kristian Pietras","Nov 23, 2018"
GSM3026130,"SS2_15_0048_L22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750186",SRX3750186,"Kristian Pietras","Nov 23, 2018"
GSM3026131,"SS2_15_0048_L23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750187",SRX3750187,"Kristian Pietras","Nov 23, 2018"
GSM3026132,"SS2_15_0048_L24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750188",SRX3750188,"Kristian Pietras","Nov 23, 2018"
GSM3026133,"SS2_15_0048_M1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750189",SRX3750189,"Kristian Pietras","Nov 23, 2018"
GSM3026134,"SS2_15_0048_M2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750190",SRX3750190,"Kristian Pietras","Nov 23, 2018"
GSM3026135,"SS2_15_0048_M3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750191",SRX3750191,"Kristian Pietras","Nov 23, 2018"
GSM3026136,"SS2_15_0048_M4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750192",SRX3750192,"Kristian Pietras","Nov 23, 2018"
GSM3026137,"SS2_15_0048_M5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750193",SRX3750193,"Kristian Pietras","Nov 23, 2018"
GSM3026138,"SS2_15_0048_M6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750194",SRX3750194,"Kristian Pietras","Nov 23, 2018"
GSM3026139,"SS2_15_0048_M7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750195",SRX3750195,"Kristian Pietras","Nov 23, 2018"
GSM3026140,"SS2_15_0048_M8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750196",SRX3750196,"Kristian Pietras","Nov 23, 2018"
GSM3026141,"SS2_15_0048_M9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750197",SRX3750197,"Kristian Pietras","Nov 23, 2018"
GSM3026142,"SS2_15_0048_M10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750198",SRX3750198,"Kristian Pietras","Nov 23, 2018"
